ticker,ano_mes,fechamento_mensal,volume_mensal
MXRF11,2023-03-01,10.38,15114327
MXRF11,2023-04-01,10.47,10763443
VGHF11,2021-03-01,9.96,3165080
VGHF11,2021-04-01,10.01,7841870
VGHF11,2021-05-01,9.54,8378470
VGHF11,2021-06-01,9.73,16208180
VGHF11,2021-07-01,10.03,15779560
VGHF11,2021-08-01,10.04,16190410
VGHF11,2021-09-01,10.12,16128350
VGHF11,2021-10-01,9.91,26054230
VGHF11,2021-11-01,9.99,16655880
VGHF11,2021-12-01,10.0,34956750
VGHF11,2022-01-01,10.25,48102030
VGHF11,2022-02-01,10.29,46803500
VGHF11,2022-03-01,10.4,97668370
VGHF11,2022-04-01,10.17,85316350
VGHF11,2022-05-01,9.84,95500040
VGHF11,2022-06-01,10.01,72946950
VGHF11,2022-07-01,9.96,69333610
VGHF11,2022-08-01,9.94,69997010
VGHF11,2022-09-01,9.84,68666290
VGHF11,2022-10-01,9.52,61661190
VGHF11,2022-11-01,9.11,65065300
VGHF11,2022-12-01,9.4,51042079
VGHF11,2023-01-01,9.16,55983378
VGHF11,2023-02-01,9.18,28739920
VGHF11,2023-03-01,9.08,5283522
VGHF11,2023-04-01,8.85,4411607
XPSF11,2020-02-01,9.833,12309000
XPSF11,2020-03-01,8.151,40419900
XPSF11,2020-04-01,8.65,25419600
XPSF11,2020-05-01,9.26,25799500
XPSF11,2020-06-01,9.75,34686300
XPSF11,2020-07-01,9.467,31274000
XPSF11,2020-08-01,9.81,22384900
XPSF11,2020-09-01,9.651,20979900
XPSF11,2020-10-01,9.305,41181100
XPSF11,2020-11-01,9.599,42580400
XPSF11,2020-12-01,9.724,32446800
XPSF11,2021-01-01,9.621,34683000
XPSF11,2021-02-01,9.74,31779900
XPSF11,2021-03-01,9.688,35375800
XPSF11,2021-04-01,9.765,35235700
XPSF11,2021-05-01,9.82,34446900
XPSF11,2021-06-01,9.39,40793500
XPSF11,2021-07-01,9.48,20755300
XPSF11,2021-08-01,8.48,33073300
XPSF11,2021-09-01,8.208,21898700
XPSF11,2021-10-01,7.911,22807000
XPSF11,2021-11-01,7.099,23127000
XPSF11,2021-12-01,8.25,21391600
XPSF11,2022-01-01,7.895,17254800
XPSF11,2022-02-01,7.227,20541700
XPSF11,2022-03-01,7.0,29124800
XPSF11,2022-04-01,7.345,32745500
XPSF11,2022-05-01,7.16,24964940
XPSF11,2022-06-01,7.11,18842860
XPSF11,2022-07-01,7.25,16465170
XPSF11,2022-08-01,7.9,24227940
XPSF11,2022-09-01,7.72,19038790
XPSF11,2022-10-01,7.74,19508550
XPSF11,2022-11-01,7.39,18949748
XPSF11,2022-12-01,7.6,17723508
XPSF11,2023-01-01,7.27,17113228
XPSF11,2023-02-01,7.0,10753809
XPSF11,2023-03-01,7.04,1940608
XPSF11,2023-04-01,7.03,1752769
