id_fundo,fundo,cnpj,ticker,data_informacao,total_cotistas,patrimonio_liquido,data_pregao,preco_fechamento,volume_negociado
145,HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,18307582000119,HFOF11,2023-03-01,70710.0,1730940288.27,2023-04-27,66.99,37308.0
146,FUNDO DE INVESTIMENTO IMOBILIARIO VOTORANTIM LOGÍSTICA,27368600000163,VTLT11,2023-03-31,6235.0,213498044.14,2023-04-27,92.5,336.0
147,MOGNO FII,29216463000177,MGFF11,2023-03-31,50065.0,609787023.93,2023-04-27,57.14,9847.0
148,FUNDO DE INVEST IMOB - OURINVEST RENDA ESTRUTURADA,28516650000103,OUCY11,2023-03-31,5834.0,97576087.71,2023-04-27,88.5,0.0
149,CSHG RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO FII,29641226000153,HGRU11,2023-03-01,196152.0,2275112647.43,2023-04-27,121.94,27454.0
150,RBR HIGH GRADE FII,29467977000103,RBRR11,2023-03-31,130491.0,1274513907.29,2023-04-27,86.23,22754.0
151,FII XP LOG,26502794000185,XPLG11,2023-03-31,306888.0,3073760013.96,2023-04-27,100.3,39712.0
152,BB RENDA DE PAPÉIS IMOBILIÁRIOS II FUNDO DE INVESTIMENTO,23120027000113,RDPD11,2023-03-31,1831.0,27775234.59,2023-04-27,23.5,22520.0
153,FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII,18369510000104,FINF11,2023-03-31,4.0,34038109.63,,,
154,FII BTGP CRED IMOBIL,29787928000140,BTCR11,2022-10-31,16934.0,458252683.73,2023-04-27,88.0,0.0
155,FUNDO DE INVEST IMOB - OURINVEST RE I,28693595000127,WTSP11B,2023-03-31,201.0,72017767.86,2023-04-27,34.79,2.0
156,KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,30130708000128,KNHY11,2023-03-01,14404.0,1850693423.05,2023-04-27,98.65,22696.0
157,FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR,24814916000143,NPAR11,2022-04-29,772.0,1682250.84,2023-04-27,13.0,0.0
158,FUNDO DE INVESTIMENTO IMOBILIARIO RBR PROPERTIES,21408063000151,RBRP11,2023-03-01,92280.0,945548836.61,2023-04-27,48.39,27297.0
159,VOTORANTIM SECURITIES MASTER FUNDO DE INVESTIMENTO,17870926000130,VOTS11,2023-03-31,598.0,77772057.19,2023-04-27,82.49,13.0
160,XP INDUSTRIAL FII,28516325000140,XPIN11,2023-03-31,44997.0,737669939.24,2023-04-27,71.48,4214.0
161,NOVA I FUNDO DE INVESTIMENTO IMOBILIÁRIO,22003469000117,NVIF11B,2023-03-31,7.0,111177608.8,,,
162,VALORA CRI CDI FII,29852732000191,VGIR11,2023-03-31,157481.0,993872454.27,2023-04-27,9.23,413159.0
163,MAC FUNDO DE INVESTIMENTO IMOBILIÁRIO,30579348000146,DMAC11,2021-11-01,2352.0,778257.9,2023-04-19,13.0,0.0
164,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING,23740595000117,VSHO11,2023-03-31,2783.0,210498623.36,2023-04-27,64.45,2313.0
165,FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII,30091444000140,KFOF11,2023-03-01,13320.0,392197524.8,2023-04-27,77.17,13565.0
166,IMMOB I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,28893734000166,RNOV11,2023-03-31,2.0,83686000.44,,,
167,BRAZIL REAL ESTATE VICTORY FUND I - FII,26195121000120,BREV11,2023-03-01,249.0,113444241.78,2023-04-27,96.79,2.0
168,FUNDO DE INVESTIMENTO IMOBILIÁRIO TOURMALET I,26395660000102,TORM13,2021-10-29,272.0,69471675.5,,,
169,JT PREV FUNDO DE INVESTIMENTO IMOBILIÁRIO D. HAB,23876086000116,JTPR11,2023-03-31,8.0,17555462.8,,,
170,HAZ FUNDO DE INVESTIMENTO IMOBILIÁRIO,14631148000139,ATCR11,2023-03-31,33.0,75026483.03,,,
171,FUNDO DE INVEST IMOB - OURINVEST LOGÍSTICA,13974819000100,PDDA11B,2023-03-31,5102.0,166691647.81,,,
172,VINCI LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,24853044000122,VILG11,2023-03-01,156636.0,1677228504.13,2023-04-27,92.29,26168.0
173,STARX,11044355000107,STRX11,2023-03-31,55.0,264467459.77,2023-04-27,15816.0,0.0
174,FUNDO DE INVEST. IMOBILIÁRIO HOSPITAL UNIMED CAPIXABA,28851767000143,HUSC11,2023-03-01,759.0,116414791.91,2023-04-27,99.15,8.0
175,VBI LOGISTICO FII,30629603000118,LVBI11,2023-03-31,69305.0,1360041154.89,2023-04-27,101.45,13356.0
176,RB CAPITAL RENDIMENTOS IMOBILIÁRIOS FII - FII,26511274000139,RCRI13,2021-11-01,149.0,18639596.1,,,
177,XP HOTÉIS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,18308516000163,VREH14,2023-03-31,1327.0,374616045.03,,,
178,RBR CREDITO IMOB FII,30166700000111,FRBR11,2023-03-31,31088.0,554163457.16,,,
179,FUNDO DE INVESTIMENTO IMOBILIÁRIO TOURMALET II,30578316000126,TOUR11,2021-10-29,675.0,64707168.48,2023-04-19,8.8,0.0
180,OURO VERDE DESENVOLVIMENTO IMOBILIÁRIO I FII,19107604000160,ORPD11,2023-03-31,6.0,42782812.87,2023-04-19,93.0,0.0
181,PATEO BANDEIRANT FII,14788492000136,PATB11,2023-03-31,57.0,575120033.42,,,
182,FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS,23740527000158,GTWR11,2023-03-31,27116.0,1138967684.57,2023-04-27,77.61,4859.0
183,PATRIA EDIFICIOS CORPORATIVOS FII,30048651000112,PATC11,2023-03-31,8002.0,264081721.72,2023-04-27,67.5,1798.0
184,CX RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II,31887401000139,CRFF11,2023-03-01,1638.0,55616372.74,2023-04-27,64.5,228.0
185,FUNDO REC RENDA IMOBILIARIA,32274163000159,RECT11,2023-03-01,75612.0,793794227.53,2023-04-27,50.15,8162.0
186,NE LOGISTIC FUNDO DE INVESTIMENTO IMOBILIÁRIO,30495165000142,NELO11,2023-03-01,1.0,678115890.8,,,
187,BARIGUI RENDIMENTOS I FII,29267567000100,BARI11,2023-03-01,39227.0,445647608.68,2023-04-27,77.95,16160.0
188,EVEN PERMUTA KINEA FII – FUNDO DE INVESTIMENTO IMOBILIÁRIO,24070076000151,KINP11,2023-03-01,1932.0,26408606.84,2023-04-27,9.82,0.0
189,LOFT I FUNDO DE INVESTIMENTO IMOBILIÁRIO,19722048000131,LOFT11B,2023-03-31,1.0,27360410.19,2023-04-27,29.9,0.0
190,FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,12804013000100,FISC11,2023-03-01,66.0,195891852.31,2023-04-27,165.0,0.0
191,FII HECTARE CE,30248180000196,HCTR11,2023-03-31,208225.0,2620721292.22,2023-04-27,47.8,149939.0
192,JPP CAPITAL RECEBIVEIS IMOBILIARIOS - FII,30982880000100,JPPA11,2023-03-01,8059.0,88967458.82,2023-04-27,94.07,2478.0
193,RIZA ARCTIUM FII,28267696000136,YCHY11,2023-03-31,38504.0,371607743.61,2023-04-27,1000.0,0.0
194,SANTANDER PAPÉIS IMOBILIARIO CDI FUNDO DE INVESTIMENTO IMOB.,32903521000145,SADI11,2023-03-31,9409.0,310222937.97,2023-04-27,81.99,2332.0
