id_fundo_imobiliario,cnpj,fundo,ticker,visivel,data_informacao,total_cotistas,valor_patrimonio_liquido,dividend_yield_mes,rent_efetiva_mensal,ano_mes_x,data_ultimo_preco,preco_fechamento,volume_negociado,ano_mes_y
147,29216463000177,MOGNO FII,MGFF11,True,2023-03-31,50065.0,609787023.93,0.006898,-0.01743,2023-03-01,2023-04-27,57.14,9847.0,2023-04-01
59,22219335000138,BANESTES RECEBIVEIS IMOBILIARIOS FII,BCRI11,True,2023-03-01,46816.0,617910034.79,0.008567,-0.007879,2023-03-01,2023-04-27,69.69,13295.0,2023-04-01
29,15576907000170,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO,AGCX11,True,2023-03-01,45897.0,1252220789.13,0.008776,0.007025,2023-03-01,,,,
361,41269527000101,XP CRÉDITO AGRÍCOLA-FUNDO DE INVESTIMENTO NAS CADEIAS PROD,XPCA11,True,2023-03-01,45012.0,298179473.03,0.015809,0.016981,2023-03-01,2023-04-27,9.91,210354.0,2023-04-01
160,28516325000140,XP INDUSTRIAL FII,XPIN11,True,2023-03-31,44997.0,737669939.24,0.00631072,0.00791433,2023-03-01,2023-04-27,71.48,4214.0,2023-04-01
294,36642219000131,RIZA AKIN FII,RZAK11,True,2023-03-31,44967.0,819610036.73,0.008412,0.014448,2023-03-01,2023-04-27,86.78,49308.0,2023-04-01
363,40413979000144,FIAGRO IMOBILIÁRIO RIZA,RZAG11,True,2023-03-31,44690.0,651647786.34,0.011555,0.01758,2023-03-01,2023-04-27,8.85,375054.0,2023-04-01
340,41076710000182,SUNO CRI FII,SNCI11,True,2023-03-31,44275.0,411269474.2,0.008386,0.012113,2023-03-01,2023-04-27,93.0,3671.0,2023-04-01
306,36642244000115,BTGP AGRO LOG FII,BTAL11,True,2023-03-31,43445.0,629053590.88,0.006237,0.011289,2023-03-01,2023-04-27,86.49,7088.0,2023-04-01
224,30983020000190,XP SELECTION FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,XPSF11,True,2023-03-01,39351.0,343816972.75,0.009425,-0.005941,2023-03-01,2023-04-27,7.03,68320.0,2023-04-01
187,29267567000100,BARIGUI RENDIMENTOS I FII,BARI11,True,2023-03-01,39227.0,445647608.68,0.00941,0.014821,2023-03-01,2023-04-27,77.95,16160.0,2023-04-01
193,28267696000136,RIZA ARCTIUM FII,ARCT11,True,2023-03-31,38504.0,371607743.61,0.014892,0.014901,2023-03-01,2023-04-27,87.13,0.0,2023-04-01
227,32903702000171,SANTANDER RENDA DE ALUGUEIS FII,SARE11,True,2023-03-31,37996.0,862909815.93,0.006596,0.000711,2023-03-01,2023-04-27,56.17,60233.0,2023-04-01
427,28152777000190,SUNO AGRO FIAGRO IMOBILIARIO - SUNO AGRO FII,SNAG11,True,2023-03-31,37061.0,301813119.15,0.0,0.002975,2023-03-01,2023-04-27,100.6,6657.0,2023-04-01
324,40011225000168,SUNO FOF FII,SNFF11,True,2023-03-31,32530.0,236294873.32,0.008119,-0.009636,2023-03-01,2023-04-27,83.6,2563.0,2023-04-01
91,15538445000105,SP DOWNTOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,SPTW11,True,2023-03-01,31286.0,100482891.3,0.007515,0.0084091,2023-03-01,2023-04-27,38.51,2123.0,2023-04-01
178,30166700000111,RBR CREDITO IMOB FII,FRBR11,True,2023-03-31,31088.0,554163457.16,0.012657,0.015945,2023-03-01,,,,
270,37295919000160,FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN LOGÍSTICA,GALG11,True,2023-03-01,30801.0,532022907.26,0.008825,0.004568,2023-03-01,2023-04-27,8.44,79618.0,2023-04-01
9,03683056000186,FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,FFCI11,True,2023-03-01,29967.0,769574623.05,0.003553,0.004601,2023-03-01,2023-04-19,182.03,0.0,2023-04-01
